S No.,Gender,Category,Price,Brand,Product,Review,Label
1,Female,Sarees,194,kashvi sarees,"Printed, Ombre, Animal Print Bandhani Silk Blend Saree  (Blue)",It's a great deal,1
2,Female,Sarees,194,kashvi sarees,"Printed, Ombre, Animal Print Bandhani Silk Blend Saree  (Blue)",Very Very nice,1
3,Female,Sarees,194,kashvi sarees,"Printed, Ombre, Animal Print Bandhani Silk Blend Saree  (Blue)",Super excellent I am very happy,1
4,Female,Sarees,194,kashvi sarees,"Printed, Ombre, Animal Print Bandhani Silk Blend Saree  (Blue)",Very very good saree,1
5,Female,Sarees,194,kashvi sarees,"Printed, Ombre, Animal Print Bandhani Silk Blend Saree  (Blue)",Worst product ever had... cheap quality....waste of money,0
6,Female,Sarees,194,kashvi sarees,"Printed, Ombre, Animal Print Bandhani Silk Blend Saree  (Blue)",Very bad,0
7,Female,Sarees,194,kashvi sarees,"Printed, Ombre, Animal Print Bandhani Silk Blend Saree  (Blue)",Very disappointed. The product was completely changed. Never buy this product. So much disappointment. Don't buy this product.,0
8,Female,Sarees,194,kashvi sarees,"Printed, Ombre, Animal Print Bandhani Silk Blend Saree  (Blue)",Awesome Saree.. i loved it ,1
9,Female,Sarees,194,kashvi sarees,"Printed, Ombre, Animal Print Bandhani Silk Blend Saree  (Blue)",Superb quality at this price range..... affordable,1
10,Female,Sarees,194,kashvi sarees,"Printed, Ombre, Animal Print Bandhani Silk Blend Saree  (Blue)",good product in reasonable price,1
11,Female,Sarees,194,kashvi sarees,Printed Daily Wear Georgette Saree  (Black),Good,1
12,Female,Sarees,194,kashvi sarees,Printed Daily Wear Georgette Saree  (Black),Awesome,1
13,Female,Sarees,194,kashvi sarees,Printed Daily Wear Georgette Saree  (Black),Very good,1
14,Female,Sarees,194,kashvi sarees,Printed Daily Wear Georgette Saree  (Black),Nice,1
15,Female,Sarees,194,kashvi sarees,Printed Daily Wear Georgette Saree  (Black),Nice product,1
16,Female,Sarees,194,kashvi sarees,Printed Daily Wear Georgette Saree  (Black),Best saree,1
17,Female,Sarees,194,kashvi sarees,Printed Daily Wear Georgette Saree  (Black),Osm saree❤️I love it🥰,1
18,Female,Sarees,194,kashvi sarees,Printed Daily Wear Georgette Saree  (Black),Good,1
19,Female,Sarees,194,kashvi sarees,Printed Daily Wear Georgette Saree  (Black),Very good product,1
20,Female,Sarees,194,kashvi sarees,Printed Daily Wear Georgette Saree  (Black),This is nice product.,1
21,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon Saree  (Yellow)",Awesome,1
22,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon Saree  (Yellow)",super,1
23,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon Saree  (Yellow)",Classy product..worth for Money... Light weight,1
24,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon Saree  (Yellow)",omg so beautiful😍💓,1
25,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon Saree  (Yellow)",Very very nice saree,1
26,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon Saree  (Yellow)",Awesome saree ❤️❤️,1
27,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon Saree  (Yellow)",wow wow wow i love it.....,1
28,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon Saree  (Yellow)",Nice product..,1
29,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon Saree  (Yellow)",Amazing Saree,1
30,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon Saree  (Yellow)",nice saree....I like it very much,1
31,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon, Georgette Saree  (Brown)",Nice saree,1
32,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon, Georgette Saree  (Brown)",beautiful saree...and the fabric is also gud...m happy with the product..thank you flipkart😊😊,1
33,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon, Georgette Saree  (Brown)",prettiest saree ,1
34,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon, Georgette Saree  (Brown)",worth buying 😊 i am loving it,1
35,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon, Georgette Saree  (Brown)",colour and material is good..,1
36,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon, Georgette Saree  (Brown)",Superb👌😘,1
37,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon, Georgette Saree  (Brown)",Best deal. Very soft material.,1
38,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon, Georgette Saree  (Brown)",Saree quality is good and overall it's okk,1
39,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon, Georgette Saree  (Brown)",I like this saree good quality and cloth,1
40,Female,Sarees,324,kashvi sarees,"Embellished, Woven, Plain Bollywood Chiffon, Georgette Saree  (Brown)",Beautiful sarees... Also with good fabric,1
41,Female,Sarees,194,Anand,"Animal Print, Paisley, Floral Print Daily Wear Georgette Saree  (Yellow, Green)",Nice,1
42,Female,Sarees,194,Anand,"Animal Print, Paisley, Floral Print Daily Wear Georgette Saree  (Yellow, Green)",I love this saree,1
43,Female,Sarees,194,Anand,"Animal Print, Paisley, Floral Print Daily Wear Georgette Saree  (Yellow, Green)",This is good product this product is rate is very low but literally it's a good product and you are buy this product this product is not waste of money,1
44,Female,Sarees,194,Anand,"Animal Print, Paisley, Floral Print Daily Wear Georgette Saree  (Yellow, Green)",Comfortable and too soft..thanks flipkart,1
45,Female,Sarees,194,Anand,"Animal Print, Paisley, Floral Print Daily Wear Georgette Saree  (Yellow, Green)",poor quality,0
46,Female,Sarees,194,Anand,"Animal Print, Paisley, Floral Print Daily Wear Georgette Saree  (Yellow, Green)",Bad quality,0
47,Female,Sarees,194,Anand,"Animal Print, Paisley, Floral Print Daily Wear Georgette Saree  (Yellow, Green)",Nice,1
48,Female,Sarees,194,Anand,"Animal Print, Paisley, Floral Print Daily Wear Georgette Saree  (Yellow, Green)",Not good very bed. Don't book this one. No. No.,0
49,Female,Sarees,194,Anand,"Animal Print, Paisley, Floral Print Daily Wear Georgette Saree  (Yellow, Green)",Not satisfied for colour,0
50,Female,Sarees,194,Anand,"Animal Print, Paisley, Floral Print Daily Wear Georgette Saree  (Yellow, Green)",Very poor saree fabric is very light.The print is good but the fabric quality is very rubbish.Do not order this saree at all,0
51,Female,Sarees,194,Anand,"Polka Print, Printed Daily Wear Georgette Saree  (White, Black)",Best quality...best saree collection..,1
52,Female,Sarees,194,Anand,"Polka Print, Printed Daily Wear Georgette Saree  (White, Black)",Must buy... love it...very nice saree 😍,1
